V/C/P;letter;default/rules;number;description;rule;replaced;replaceby;Replace by;Replace by2;Replace by3;Replace by4
V;a;default;0.0;no rule found;['a'];a;A;;;;1.0
V;a;rules;1.0;last letter;['a',0];a;a:;;;;2.0
V;a;rules;12.0;followed by a (aa);['a','V=a'];aa;a:;;;;2.0
V;a;rules;11.0;followed by ai (aai);['a','V=a','V=i'];aai;a:i;;;;3.0
V;a;rules;10.0;followed by aj (aaj);['a','C=a','C=j'];aaj;a:i;;;;3.0
V;a;rules;8.0;followed by aij (aaij);['a','V=a','V=i','C=j'];aaij;a:i;;;;3.0
V;a;rules;9.0;followed by ay (aay);['a','V=a','V=y'];aay;a:i;;;;3.0
V;a;rules;5.0;followed by au (aau);['a','V=a','V=u'];aau;a:w;;;;3.0
V;a;rules;3.0;followed by auw (aauw);['a','V=a','V=u','C=w'];aauw;a:w;;;;3.0
V;a;rules;17.0;followed by e (ae);['a','V=e'];ae;a:;;;;2.0
V;a;rules;15.0;followed by ei (aei);['a','V=e','V=i'];aei;a:i;;;;3.0
V;a;rules;13.0;followed by eij (aeij);['a','V=e','V=i','C=j'];aeij;a:i;;;;3.0
V;a;rules;14.0;followed by ey (aey);['a','V=e','V=y'];aey;a:i;;;;3.0
V;a;rules;16.0;followed by eu (aeu);['a','V=e','V=u'];aeu;a:w;;;;3.0
V;a;rules;18.0;followed by i (ai);['a','V=i'];ai;Ai;;;;2.0
V;a;rules;19.0;followed by ao + by 2 consonants;['a','V=o','C=1','C=1'];ao;a:O;;;;3.0
V;a;rules;20.0;followed by o (ao);['a','V=o'];ao;a:o:;;;;4.0
V;a;rules;22.0;followed by u (au);['a','V=u'];au;Au;;;;2.0
V;a;rules;21.0;followed by uw (auw);['a','V=u','C=w'];auw;Auw;;;;3.0
V;a;rules;23.0;followed by y (ay);['a','V=y'];ay;Ai;;;;2.0
V;a;rules;24.0;followed by j (aj);['a','V=y'];aj;Ai;;;;2.0
V;a;rules;2.0;followed by ng (ang);['a','C=n','C=g'];ang;AN;;;;2.0
V;a;rules;3.0;followed by ch (ach);['a','C=c','C=h'];ach;Ax;;;;2.0
V;a;rules;6.0;followed by consonant + vocal;['a','C=1','V=1'];a;a:;;;;2.0
V;a;rules;5.0;followed by r + 1 or more vocals;['a','C=r','V=1'];a;a:;;;;2.0
V;a;rules;7.0;followed by r (ar) + 1 or more consonants;['a','C=r','C=1'];ar;Ar;;;;2.0
V;a;rules;4.0;followed by 2 consonants;['a','C=1','C=1'];a;A;;;;1.0
V;o;default;0.0;no rule found;['o'];o;O;;;;1.0
V;o;rules;1.0;last letter;['o',0];o;o:;;;;2.0
V;o;rules;16.0;followed by a (oa);['o','V=a'];oa;o:a:;;;;4.0
V;o;rules;15.0;followed by a + 2 consonants (oa..);['o','V=a','C=1','C=1'];oa;o:A;;;;3.0
V;o;rules;13.0;followed by a + 1 consonant + einde wrd (oa.);['o','V=a','C=1',0];oa;o:A;;;;3.0
V;o;rules;14.0;followed by a + 1 consonant + 1 vocal (oa..);['o','V=a','C=1','C=1'];oa;o:a:;;;;4.0
V;o;rules;12.0;followed by e (oe);['o','V=e'];oe;u;;;;1.0
V;o;rules;10.0;followed by ei (oei);['o','V=e','V=i'];oei;ui;;;;2.0
V;o;rules;8.0;followed by eij (oeij);['o','V=e','V=i','C=j'];oeij;ui;;;;2.0
V;o;rules;9.0;followed by ey (oey);['o','V=e','V=y'];oey;ui;;;;2.0
V;o;rules;21.0;followed by i (oi);['o','V=i'];oi;Oi;;;;2.0
V;o;rules;20.0;followed by o (oo);['o','V=o'];oo;o:;;;;2.0
V;o;rules;19.0;followed by oi (ooi);['o','V=o','V=i'];ooi;o:i;;;;3.0
